id;age;competition;datetime;days_since_last_run;dt_actual_off;encuentro;equipo_local;equipo_visitante;es_fila;event;event_id;full_description;id_competition;id_local;id_partido;id_visitante;in_play;jockey_name;lastpricetraded;latest_taken;nombre;number_of_active_runners;number_of_winners;odds_back;odds_back_1;odds_back_2;odds_back_3;odds_lay;odds_lay_1;odds_lay_2;odds_lay_3;official_rating;partido;player;scheduled_off;selection;selection_id;sex_type;simbolo;size_back_1;size_back_2;size_back_3;size_lay_1;size_lay_2;size_lay_3;sortPriority;sports_id;sports_id_event;status;status_selection;trainer_name;type;ultima;unico;unico_evento;volume_matched;volume_matched_selection;weight_units;weight_unitsform;weight_value;win_flag;yyyymmdd;event_id_selection
3271353;;Elite Friendlies;1659897208.44839;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.34;1659896984.671;fila;2.0;1.0;1.21;1.21;1.2;1.19;1.24;1.24;1.25;1.26;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;392.28;394.12;159.09;440.09;409.17;27.77;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;1524.67;1183.03;;;;0.0;20220807.0;1.201838321
3271354;;Elite Friendlies;1659897208.450393;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659896984.671;fila;2.0;1.0;5.2;5.2;5.1;5.0;5.8;5.8;5.9;6.0;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;57.68;57.29;97.84;34.0;38.86;61.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;1524.67;341.63;;;;0.0;20220807.0;1.201838321
3272848;;Elite Friendlies;1659897264.584216;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.22;1659897261.914;fila;2.0;1.0;1.19;1.19;1.18;1.17;1.22;1.22;1.24;1.25;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;44.97;477.51;267.6;28.48;34.87;42.17;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;1597.29;1255.65;;;;0.0;20220807.0;1.201838321
3272849;;Elite Friendlies;1659897264.586717;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659897261.914;fila;2.0;1.0;5.3;5.3;5.2;5.1;7.0;7.0;;;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;3.14;63.92;98.74;;;;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;1597.29;341.63;;;;0.0;20220807.0;1.201838321
3272991;;Elite Friendlies;1659897270.261934;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.22;1659897267.424;fila;2.0;1.0;1.19;1.19;1.18;1.17;1.24;1.24;1.25;1.41;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;44.97;477.51;267.6;34.87;42.17;2.76;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;1597.99;1256.36;;;;0.0;20220807.0;1.201838321
3272992;;Elite Friendlies;1659897270.261934;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659897267.424;fila;2.0;1.0;5.5;5.5;5.3;5.2;6.4;6.4;7.0;;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;8.0;3.14;63.92;;;;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;1597.99;341.63;;;;0.0;20220807.0;1.201838321
3273166;;Elite Friendlies;1659897275.887121;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.22;1659897274.438;fila;2.0;1.0;1.19;1.19;1.18;1.17;1.22;1.22;1.23;1.24;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;44.97;477.51;267.6;33.05;28.13;34.87;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;1599.99;1258.36;;;;0.0;20220807.0;1.201838321
3273167;;Elite Friendlies;1659897275.889622;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659897274.438;fila;2.0;1.0;5.3;5.3;5.2;5.1;6.4;6.4;7.0;;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;11.12;63.92;98.74;;;;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;1599.99;341.63;;;;0.0;20220807.0;1.201838321
3273339;;Elite Friendlies;1659897281.449815;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.22;1659897279.546;fila;2.0;1.0;1.19;1.19;1.18;1.17;1.22;1.22;1.23;1.24;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;44.97;477.51;267.6;32.04;69.18;55.95;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;1602.0;1260.37;;;;0.0;20220807.0;1.201838321
3273340;;Elite Friendlies;1659897281.449815;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659897279.546;fila;2.0;1.0;5.4;5.4;5.3;5.2;6.4;6.4;7.0;;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;17.06;11.12;63.92;;;;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;1602.0;341.63;;;;0.0;20220807.0;1.201838321
3280606;;Elite Friendlies;1659897577.747678;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.17;1659897576.488;fila;2.0;1.0;1.17;1.17;1.16;1.15;1.18;1.18;1.19;;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;1200.57;34.32;397.0;;;;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;1829.38;1487.74;;;;0.0;20220807.0;1.201838321
3280607;;Elite Friendlies;1659897577.747678;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659897576.488;fila;2.0;1.0;6.8;6.8;6.6;6.4;7.4;7.4;7.6;7.8;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;49.33;101.89;87.24;38.0;35.0;30.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;1829.38;341.63;;;;0.0;20220807.0;1.201838321
3280736;;Elite Friendlies;1659897583.320413;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.17;1659897581.596;fila;2.0;1.0;1.17;1.17;1.16;1.15;1.18;1.18;1.19;;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;1140.31;34.32;397.0;;;;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;1949.9;1608.26;;;;0.0;20220807.0;1.201838321
3280737;;Elite Friendlies;1659897583.320413;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659897581.596;fila;2.0;1.0;6.8;6.8;6.6;6.4;7.4;7.4;7.6;7.8;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;49.33;95.76;87.24;38.0;35.0;30.0;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;1949.9;341.63;;;;0.0;20220807.0;1.201838321
3280856;;Elite Friendlies;1659897588.903074;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;1.17;1659897588.407;fila;2.0;1.0;1.17;1.17;1.16;1.15;1.18;1.18;1.19;1.2;;albacete v getafe_20220807;under 2.5 goals;1659895364.0;under 2.5 goals;47972;;1_over under 25 goals_albacete v getafe_20220807180200;697.75;23.97;397.0;419.99;390.09;2.53;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201886293202208e+17;1_over/under 2.5 goals_20220807180200;2835.02;2493.38;;;;0.0;20220807.0;1.201838321
3280857;;Elite Friendlies;1659897588.903074;;1659895364.0;albacete v getafe;albacete;getafe;1.0;over/under 2.5 goals;1.201838321;albacete v getafe_20220807;12247754;;;;1.0;;5.0;1659897588.407;fila;2.0;1.0;6.8;6.8;6.6;6.4;7.2;7.2;7.6;7.8;;albacete v getafe_20220807;over 2.5 goals;1659895364.0;over 2.5 goals;47973;;1_over under 25 goals_albacete v getafe_20220807180200;87.72;112.92;87.24;3.72;35.0;33.64;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201886294202208e+17;1_over/under 2.5 goals_20220807180200;2835.02;341.63;;;;0.0;20220807.0;1.201838321
