id;age;competition;datetime;days_since_last_run;dt_actual_off;encuentro;equipo_local;equipo_visitante;es_fila;event;event_id;full_description;id_competition;id_local;id_partido;id_visitante;in_play;jockey_name;lastpricetraded;latest_taken;nombre;number_of_active_runners;number_of_winners;odds_back;odds_back_1;odds_back_2;odds_back_3;odds_lay;odds_lay_1;odds_lay_2;odds_lay_3;official_rating;partido;player;scheduled_off;selection;selection_id;sex_type;simbolo;size_back_1;size_back_2;size_back_3;size_lay_1;size_lay_2;size_lay_3;sortPriority;sports_id;sports_id_event;status;status_selection;trainer_name;type;ultima;unico;unico_evento;volume_matched;volume_matched_selection;weight_units;weight_unitsform;weight_value;win_flag;yyyymmdd;event_id_selection
3957651;;Turkish Super League;1659981106.132793;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;2.84;1659981098.948;fila;2.0;1.0;2.84;2.84;2.82;2.8;2.92;2.92;2.94;2.96;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984300.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;70.47;45.14;66.9;51.87;39.0;37.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184500;5872.2;1109.15;;;;0.0;20220808.0;1.201648604
3957652;;Turkish Super League;1659981106.157793;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;1.53;1659981098.948;fila;2.0;1.0;1.53;1.53;1.52;1.51;1.54;1.54;1.55;1.56;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984300.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;14.14;130.02;203.39;46.71;548.14;178.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184500;5872.2;4763.04;;;;0.0;20220808.0;1.201648604
3957978;;Turkish Super League;1659981122.499915;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;2.9;1659981117.813;fila;2.0;1.0;2.84;2.84;2.82;2.8;2.92;2.92;2.94;2.96;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984300.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;66.72;45.14;66.9;41.87;39.0;37.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184500;5901.15;1119.15;;;;0.0;20220808.0;1.201648604
3957979;;Turkish Super League;1659981122.499915;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;1.53;1659981117.813;fila;2.0;1.0;1.52;1.52;1.51;1.5;1.54;1.54;1.55;1.56;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984300.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;81.66;203.39;222.83;48.95;548.14;178.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184500;5901.15;4782.0;;;;0.0;20220808.0;1.201648604
3960036;;Turkish Super League;1659981236.551451;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;2.86;1659981233.592;fila;2.0;1.0;2.84;2.84;2.82;2.8;2.92;2.92;2.94;2.96;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984300.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;66.72;42.62;70.1;41.87;49.0;37.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184500;5913.21;1131.21;;;;0.0;20220808.0;1.201648604
3960037;;Turkish Super League;1659981236.553929;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;1.53;1659981233.592;fila;2.0;1.0;1.52;1.52;1.51;1.5;1.54;1.54;1.55;1.56;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984300.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;90.99;199.81;154.0;48.95;548.14;178.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184500;5913.21;4782.0;;;;0.0;20220808.0;1.201648604
3960220;;Turkish Super League;1659981247.529585;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;2.86;1659981246.672;fila;2.0;1.0;2.84;2.84;2.82;2.8;2.94;2.94;2.96;2.98;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984300.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;21.72;42.62;70.1;49.0;37.0;37.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184500;5958.15;1131.21;;;;0.0;20220808.0;1.201648604
3960221;;Turkish Super League;1659981247.529585;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;1.52;1659981246.672;fila;2.0;1.0;1.52;1.52;1.51;1.5;1.54;1.54;1.55;1.56;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984300.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;9.33;154.49;154.0;48.95;548.14;178.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184500;5958.15;4826.94;;;;0.0;20220808.0;1.201648604
3960495;;Turkish Super League;1659981263.747365;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;2.86;1659981258.491;fila;2.0;1.0;2.84;2.84;2.82;2.8;2.94;2.94;2.96;2.98;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984300.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;21.72;42.62;70.1;39.0;37.0;37.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184500;5962.72;1135.78;;;;0.0;20220808.0;1.201648604
3960496;;Turkish Super League;1659981263.747365;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;1.52;1659981258.491;fila;2.0;1.0;1.52;1.52;1.51;1.5;1.54;1.54;1.55;1.56;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984300.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;156.33;154.49;216.3;48.95;548.14;178.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184500;5962.72;4826.94;;;;0.0;20220808.0;1.201648604
3960710;;Turkish Super League;1659981274.602739;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;2.86;1659981274.304;fila;2.0;1.0;2.84;2.84;2.82;2.8;2.92;2.92;2.94;2.96;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984300.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;21.72;42.62;66.9;40.0;39.0;37.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184500;5976.07;1145.78;;;;0.0;20220808.0;1.201648604
3960711;;Turkish Super League;1659981274.602739;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;1.54;1659981274.304;fila;2.0;1.0;1.52;1.52;1.51;1.5;1.54;1.54;1.55;1.56;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984300.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;156.33;154.49;216.3;45.6;548.14;178.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184500;5976.07;4830.29;;;;0.0;20220808.0;1.201648604
3965211;;Turkish Super League;1659981534.393606;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;2.88;1659981532.519;fila;2.0;1.0;2.84;2.84;2.82;2.8;2.88;2.88;2.92;2.94;;fenerbahce v umraniyespor_20220808;under 2.5 goals;1659984300.0;under 2.5 goals;47972;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;43.29;45.04;66.9;13.77;40.0;39.0;1;1;1_over/under 2.5 goals;open;active;;0.0;0;1.201696576202208e+17;1_over/under 2.5 goals_20220808184500;6006.7;1156.41;;;;0.0;20220808.0;1.201648604
3965212;;Turkish Super League;1659981534.393606;;1659984300.0;fenerbahce v umraniyespor;fenerbahce;umraniyespor;1.0;over/under 2.5 goals;1.201648604;fenerbahce v umraniyespor_20220808;194215;;;;0.0;;1.53;1659981532.519;fila;2.0;1.0;1.52;1.52;1.51;1.5;1.54;1.54;1.55;1.56;;fenerbahce v umraniyespor_20220808;over 2.5 goals;1659984300.0;over 2.5 goals;47973;;1_over under 25 goals_fenerbahce v umraniyespor_20220808184500;205.19;154.49;216.3;45.6;513.44;178.74;2;1;1_over/under 2.5 goals;open;active;;1.0;0;1.201696577202208e+17;1_over/under 2.5 goals_20220808184500;6006.7;4850.29;;;;0.0;20220808.0;1.201648604
